castaway_id,season,total_challenges_competed,total_won,win_percentage
US0341,23,6,2,0.3333333333333333
US0342,23,7,3,0.42857142857142855
US0343,23,8,3,0.375
US0344,23,10,4,0.4
US0345,23,12,5,0.4166666666666667
US0346,23,13,5,0.38461538461538464
US0347,23,14,5,0.35714285714285715
US0348,23,15,4,0.26666666666666666
US0349,23,16,4,0.25
US0350,23,17,5,0.29411764705882354
US0351,23,17,4,0.23529411764705882
US0352,23,18,5,0.2777777777777778
US0353,23,18,7,0.3888888888888889
US0354,24,1,0,0
US0355,24,3,0,0
US0356,24,5,3,0.6
US0357,24,7,4,0.5714285714285714
US0358,24,9,3,0.3333333333333333
US0359,24,10,4,0.4
US0360,24,12,4,0.3333333333333333
US0361,24,14,8,0.5714285714285714
US0362,24,16,10,0.625
US0363,24,17,5,0.29411764705882354
US0364,24,19,11,0.5789473684210527
US0365,24,21,8,0.38095238095238093
US0366,24,23,5,0.21739130434782608
US0367,24,24,6,0.25
US0368,24,25,5,0.2
US0369,24,25,9,0.36
US0370,24,25,8,0.32
US0371,24,25,12,0.48
US0022,25,22,10,0.45454545454545453
US0196,25,16,6,0.375
US0288,25,4,0,0
US0372,25,1,0,0
US0373,25,2,0,0
US0374,25,3,0,0
US0375,25,5,2,0.4
US0376,25,6,2,0.3333333333333333
US0377,25,8,3,0.375
US0378,25,9,7,0.7777777777777778
US0379,25,11,4,0.36363636363636365
US0380,25,13,7,0.5384615384615384
US0381,25,15,8,0.5333333333333333
US0382,25,18,7,0.3888888888888889
US0383,25,20,9,0.45
US0384,25,22,10,0.45454545454545453
US0385,25,22,8,0.36363636363636365
US0386,25,22,4,0.18181818181818182
US0246,26,21,12,0.5714285714285714
US0259,26,12,6,0.5
US0312,26,21,11,0.5238095238095238
US0322,26,2,1,0.5
US0333,26,19,10,0.5263157894736842
US0337,26,16,7,0.4375
US0346,26,23,8,0.34782608695652173
US0348,26,23,12,0.5217391304347826
US0350,26,8,6,0.75
US0384,26,17,9,0.5294117647058824
US0387,26,3,1,0.3333333333333333
US0388,26,4,1,0.25
US0389,26,5,1,0.2
US0390,26,6,1,0.16666666666666666
US0391,26,9,2,0.2222222222222222
US0392,26,11,2,0.18181818181818182
US0393,26,14,3,0.21428571428571427
US0394,26,18,8,0.4444444444444444
US0395,26,23,6,0.2608695652173913
US0396,26,23,5,0.21739130434782608
US0010,27,16,7,0.4375
US0032,27,17,9,0.5294117647058824
US0107,27,1,0,0
US0182,27,9,6,0.6666666666666666
US0195,27,4,3,0.75
US0274,27,16,8,0.5
US0292,27,16,10,0.625
US0358,27,16,7,0.4375
US0359,27,2,2,1
US0365,27,7,4,0.5714285714285714
US0397,27,8,3,0.375
US0398,27,4,2,0.5
US0399,27,3,0,0
US0400,27,8,4,0.5
US0401,27,6,1,0.16666666666666666
US0402,27,11,3,0.2727272727272727
US0403,27,13,3,0.23076923076923078
US0404,27,14,2,0.14285714285714285
US0405,27,15,3,0.2
US0406,27,15,4,0.26666666666666666
US0407,28,1,0,0
US0408,28,2,0,0
US0409,28,3,1,0.3333333333333333
US0410,28,5,1,0.2
US0411,28,7,6,0.8571428571428571
US0412,28,7,6,0.8571428571428571
US0413,28,9,3,0.3333333333333333
US0414,28,10,4,0.4
