season,castaway_id,num_confessionals,num_episodes,confessionals_per_episode
39,US0578,34,8,4.25
39,US0579,20,8,2.5
39,US0580,19,9,2.111111111111111
39,US0581,21,9,2.3333333333333335
39,US0582,24,10,2.4
39,US0583,33,11,3
39,US0584,34,12,2.8333333333333335
39,US0585,17,12,1.4166666666666667
39,US0586,33,13,2.5384615384615383
39,US0587,37,13,2.8461538461538463
39,US0588,34,13,2.6153846153846154
39,US0589,47,13,3.6153846153846154
39,US0590,52,13,4
40,US0027,22,14,1.5714285714285714
40,US0048,20,14,1.4285714285714286
40,US0055,29,14,2.0714285714285716
40,US0112,16,7,2.2857142857142856
40,US0166,15,14,1.0714285714285714
40,US0197,26,14,1.8571428571428572
40,US0202,18,14,1.2857142857142858
40,US0274,29,14,2.0714285714285716
40,US0353,20,14,1.4285714285714286
40,US0371,20,14,1.4285714285714286
40,US0386,20,14,1.4285714285714286
40,US0414,40,14,2.857142857142857
40,US0424,73,14,5.214285714285714
40,US0433,33,14,2.357142857142857
40,US0442,38,14,2.7142857142857144
40,US0478,37,14,2.642857142857143
40,US0498,37,14,2.642857142857143
40,US0516,35,14,2.5
40,US0536,14,14,1
40,US0556,28,14,2
41,US0591,2,1,2
41,US0592,4,1,4
41,US0593,13,13,1
41,US0594,39,13,3
41,US0595,11,5,2.2
41,US0596,36,13,2.769230769230769
41,US0597,56,13,4.3076923076923075
41,US0598,35,9,3.888888888888889
41,US0599,29,12,2.4166666666666665
41,US0600,11,9,1.2222222222222223
41,US0601,56,13,4.3076923076923075
41,US0602,14,3,4.666666666666667
41,US0603,22,4,5.5
41,US0604,25,8,3.125
41,US0605,15,7,2.142857142857143
41,US0606,51,10,5.1
41,US0607,6,2,3
41,US0608,34,11,3.090909090909091
42,US0609,18,8,2.25
42,US0610,15,5,3
42,US0611,34,11,3.090909090909091
42,US0612,37,10,3.7
42,US0613,2,1,2
42,US0614,6,3,2
42,US0615,31,13,2.3846153846153846
42,US0616,45,13,3.4615384615384617
42,US0617,14,7,2
42,US0618,6,2,3
42,US0619,43,13,3.3076923076923075
42,US0620,58,13,4.461538461538462
42,US0621,41,12,3.4166666666666665
42,US0622,21,9,2.3333333333333335
42,US0623,33,13,2.5384615384615383
42,US0624,7,4,1.75
42,US0625,18,9,2
42,US0626,7,1,7
43,US0627,44,13,3.3846153846153846
43,US0628,50,12,4.166666666666667
